"Season","Name","Team","Pos","Inn","DRS","OAA","E","playerid"
"2019","Yoan Moncada","CHW","3B","1095.2","0","6","15","17232"
"2018","Jose Ramirez","CLE","3B","1210.1","2","4","11","13510"
"2015","Mike Moustakas","KCR","3B","1254.0","1","","12","4892"
"2020","Jackie Bradley Jr.","BOS","CF","471.0","5","7","0","12984"
"2019","Trea Turner","WSN","SS","1065.1","4","2","13","16252"
"2022","Michael A. Taylor","KCR","CF","1010.0","19","5","3","11489"
"2016","Josh Harrison","PIT","2B","1077.2","9","6","7","8202"
"2015","Jace Peterson","ATL","2B","1218.0","4","","9","12325"
"2020","Sean Murphy","OAK","C","339.1","2","","2","19352"
"2020","Yadier Molina","STL","C","337.1","1","","5","7007"
"2015","Starlin Castro","CHC","SS","943.0","-5","","18","4579"
"2017","Kris Bryant","CHC","3B","1212.2","-3","3","18","15429"
"2021","Jose Iglesias","- - -","SS","992.2","-22","0","16","10231"
"2016","Ketel Marte","SEA","SS","1032.2","-2","-3","21","13613"
"2020","Adam Frazier","PIT","2B","343.0","6","5","1","15223"
"2022","Matt Chapman","TOR","3B","1344.1","2","1","5","16505"
"2015","Salvador Perez","KCR","C","1192.1","2","","4","7304"
"2016","Chase Headley","NYY","3B","1169.0","4","6","10","4720"
"2020","Brian Anderson","MIA","3B","460.0","3","5","9","18289"
"2019","Rougned Odor","TEX","2B","1188.1","-8","3","15","12282"
"2016","Ian Desmond","TEX","CF","1109.0","-11","4","9","6885"
"2017","Evan Longoria","TBR","3B","1240.0","8","3","12","9368"
"2015","Alexei Ramirez","CHW","SS","1349.2","-5","","16","5133"
"2021","Miguel Rojas","MIA","SS","1073.0","5","-4","11","7802"
"2019","Jose Ramirez","CLE","3B","1088.2","0","6","14","13510"
"2015","Asdrubal Cabrera","TBR","SS","1141.0","-10","","9","4962"
"2020","Isiah Kiner-Falefa","TEX","3B","366.1","7","5","5","16512"
"2019","Yolmer Sanchez","CHW","2B","1256.2","5","-1","9","11602"
"2018","Andrew Benintendi","BOS","LF","1077.1","12","2","3","17901"
"2016","Elvis Andrus","TEX","SS","1294.0","-11","-6","17","8709"
"2015","Jose Altuve","HOU","2B","1330.2","-5","","5","5417"
"2015","Jean Segura","MIL","SS","1232.1","1","","19","5933"
"2019","Cody Bellinger","LAD","RF","911.1","18","6","2","15998"
"2022","Jose Ramirez","CLE","3B","1109.2","2","1","10","13510"
"2016","Marcus Semien","OAK","SS","1385.1","1","-6","21","12533"
"2018","Mike Trout","LAA","CF","1076.2","6","5","0","10155"
"2020","Adalberto Mondesi","KCR","SS","497.0","4","3","4","13769"
"2021","Jose Altuve","HOU","2B","1263.0","-3","5","8","5417"
"2017","Steven Souza Jr.","TBR","RF","1197.0","5","9","5","5667"
"2015","Kolten Wong","STL","2B","1278.2","7","","17","12532"
"2022","Victor Robles","WSN","CF","971.2","12","5","6","18363"
"2021","Adam Frazier","- - -","2B","1159.2","7","2","5","15223"
"2021","Amed Rosario","CLE","SS","1019.2","-9","-3","10","15518"
