,Rank,Player,Team,Pos,Value,asof,url
88,37,Ben Powers,Baltimore Ravens,G,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
89,37,Ben Banogu,Indianapolis Colts,DE,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
90,37,Elijah Mitchell,San Francisco 49ers,RB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
91,37,Damarion Williams,Baltimore Ravens,CB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
92,37,Mason Crosby,Green Bay Packers,K,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
93,37,Alex Bars,Las Vegas Raiders,OL,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
94,37,Kurt Hinish,Houston Texans,DL,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
95,37,Javonte Williams,Denver Broncos,RB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
96,37,Adrian Colbert,Tennessee Titans,S,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
97,37,Tre Flowers,Cincinnati Bengals,CB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
98,37,Duke Johnson,Buffalo Bills,RB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
99,37,Charles Omenihu,San Francisco 49ers,DL,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
