Rk,Coach,Yrs,From,To,G,W,L,T,W-L%â–¼,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
101,Weeb Ewbank+,20,1954,1973,266,130,129,7,0.502,1,4,5,4,1,0.8,3,1,3,1,1
102,Wally Lemm,10,1961,1970,135,64,64,7,0.5,0,3,3,1,2,0.333,3,1,1,0,0
103,Buddy Ryan,7,1986,1995,111,55,55,1,0.5,0,3,3,0,3,0,3,1,0,0,0
104,Charley Winner,7,1966,1975,93,44,44,5,0.5,0,0,0,0,0,,3.3,2,0,0,0
105,Red Hickey,5,1959,1963,55,27,27,1,0.5,0,0,0,0,0,,4.4,2,0,0,0
106,Jack Del Rio,12,2003,2017,187,93,94,0,0.497,-1,3,4,1,3,0.25,2.8,2,0,0,0
107,Wayne Fontes,9,1988,1996,133,66,67,0,0.496,-1,4,5,1,4,0.2,3,1,0,0,0
108,Mike Tice,5,2001,2005,65,32,33,0,0.492,-1,1,2,1,1,0.5,2.4,2,,,
109,Lou Saban,16,1960,1976,201,95,99,7,0.49,-4,4,4,2,2,0.5,3,1,2,0,0
110,Dave Wannstedt,11,1993,2004,169,82,87,0,0.485,-5,3,5,2,3,0.4,3.3,1,0,0,0
111,Sam Rutigliano,7,1978,1984,97,47,50,0,0.485,-3,2,2,0,2,0,2.7,1,,,
112,Nick Skorich,7,1961,1974,98,45,48,5,0.484,-3,2,2,0,2,0,3.7,1,0,0,0
113,Jim Mora,4,2004,2009,64,31,33,0,0.484,-2,1,2,1,1,0.5,2.5,1,0,0,0
114,Norv Turner,15,1994,2012,237,114,122,1,0.483,-8,4,8,4,4,0.5,2.5,1,0,0,0
115,Joe Walton,7,1983,1989,111,53,57,1,0.482,-4,2,3,1,2,0.333,3.7,2,0,0,0
116,Kyle Shanahan,6,2017,2022,81,39,42,0,0.481,-3,2,6,4,2,0.667,2.7,1,0,0,1
117,Dan Devine,4,1971,1974,56,25,27,4,0.481,-2,1,1,0,1,0,2.8,1,0,0,0
118,Rex Ryan,8,2009,2016,127,61,66,0,0.48,-5,2,6,4,2,0.667,2.6,2,0,0,0
119,Ted Marchibroda,12,1975,1998,186,87,98,1,0.47,-11,4,6,2,4,0.333,3.3,1,0,0,0
120,Forrest Gregg+,11,1975,1987,161,75,85,1,0.469,-10,2,4,2,2,0.5,2.8,1,0,0,1
121,Ray Rhodes,5,1995,1999,80,37,42,1,0.469,-5,2,3,1,2,0.333,3.2,2,0,0,0
122,Neill Armstrong,4,1978,1981,64,30,34,0,0.469,-4,1,1,0,1,0,3.5,2,0,0,0
123,Dutch Clark+,6,1937,1942,66,30,34,2,0.469,-4,0,0,0,0,,3.3,2,0,0,0
124,John Mackovic,4,1983,1986,64,30,34,0,0.469,-4,1,1,0,1,0,4,2,0,0,0
125,Jerry Glanville,9,1985,1993,129,60,69,0,0.465,-9,4,7,3,4,0.429,3,2,0,0,0
126,Joe Philbin,5,2012,2018,56,26,30,0,0.464,-4,0,0,0,0,,3,2,0,0,0
127,Dick Nolan,11,1968,1980,156,69,82,5,0.457,-13,3,5,2,3,0.4,2.4,1,0,0,0
128,Walt Michaels,6,1977,1982,87,39,47,1,0.454,-8,2,4,2,2,0.5,3.3,2,0,0,0
129,George Wilson,12,1957,1969,160,68,84,8,0.447,-16,1,2,2,0,1,3.3,1,1,0,0
130,Chip Kelly,4,2013,2016,63,28,35,0,0.444,-7,1,1,0,1,0,2.3,1,0,0,0
131,Sam Wyche,12,1984,1995,191,84,107,0,0.44,-23,2,5,3,2,0.6,3.2,1,0,0,1
132,Tony Sparano,5,2008,2014,73,32,41,0,0.438,-9,1,1,0,1,0,2.8,1,0,0,0
133,Jim Haslett,7,2000,2008,108,47,61,0,0.435,-14,1,2,1,1,0.5,2.7,1,0,0,0
134,Monte Clark,8,1976,1984,119,51,67,1,0.433,-16,2,2,0,2,0,2.9,1,0,0,0
135,Pop Ivy,6,1958,1963,76,32,42,2,0.432,-10,1,1,0,1,0,3.8,1,0,0,0
136,Jim Hanifan,7,1980,1989,93,39,53,1,0.425,-14,1,1,0,1,0,3.9,3,0,0,0
137,Chan Gailey,5,1998,2012,80,34,46,0,0.425,-12,2,2,0,2,0,3,1,0,0,0
138,Dick Jauron,10,1999,2009,142,60,82,0,0.423,-22,1,1,0,1,0,3.3,1,0,0,0
139,Herm Edwards,8,2001,2008,128,54,74,0,0.422,-20,4,6,2,4,0.333,2.9,1,0,0,0
140,Mike McCoy,4,2013,2016,64,27,37,0,0.422,-10,1,2,1,1,0.5,3.3,2,0,0,0
141,Alex Webster,5,1969,1973,70,29,40,1,0.421,-11,0,0,0,0,,3.4,2,,,
142,Leeman Bennett,8,1977,1986,119,50,69,0,0.42,-19,3,4,1,3,0.25,2.6,1,0,0,0
143,Jay Gruden,6,2014,2019,85,35,49,1,0.418,-14,1,1,0,1,0,3,1,0,0,0
144,Joe Kuharich,11,1952,1968,142,58,81,3,0.417,-23,0,0,0,0,,3.5,2,0,0,0
145,Dennis Erickson,6,1995,2004,96,40,56,0,0.417,-16,0,0,0,0,,3.5,3,0,0,0
146,Rich Kotite,6,1991,1996,96,40,56,0,0.417,-16,1,2,1,1,0.5,3.7,2,0,0,0
147,Eric Mangini,5,2006,2010,80,33,47,0,0.413,-14,1,1,0,1,0,3,2,0,0,0
148,Bart Starr+,9,1975,1983,131,52,76,3,0.408,-24,1,2,1,1,0.5,3.2,1,0,0,0
149,Tommy Prothro,7,1971,1978,88,35,51,2,0.408,-16,0,0,0,0,,3.3,2,0,0,0
150,Butch Davis,4,2001,2004,59,24,35,0,0.407,-11,1,1,0,1,0,3.3,2,,,
151,Jack Christiansen+,5,1963,1967,67,26,38,3,0.406,-12,0,0,0,0,,5,3,0,0,0
152,Gene Stallings,4,1986,1989,58,23,34,1,0.405,-11,0,0,0,0,,4,3,0,0,0
153,Mike Mularkey,6,2004,2017,89,36,53,0,0.404,-17,1,2,1,1,0.5,3,2,0,0,0
154,Ken Whisenhunt,8,2007,2015,119,48,71,0,0.403,-23,2,6,4,2,0.667,2.8,1,0,0,1
155,Adam Gase,5,2016,2020,80,32,48,0,0.4,-16,1,1,0,1,0,2.8,2,0,0,0
156,Norm Van Brocklin+,13,1961,1974,173,66,100,7,0.398,-34,0,0,0,0,,3.9,2,0,0,0
157,Leslie Frazier,4,2010,2013,54,21,32,1,0.398,-11,1,1,0,1,0,3.5,2,,,
158,Vince Tobin,5,1996,2000,71,28,43,0,0.394,-15,1,2,1,1,0.5,4,2,0,0,0
159,Gregg Williams,4,2001,2018,56,22,34,0,0.393,-12,0,0,0,0,,3.8,3,0,0,0
160,Gus Dorais,5,1943,1947,53,20,31,2,0.392,-11,0,0,0,0,,3.4,2,0,0,0
161,Doug Marrone,7,2013,2020,98,38,60,0,0.388,-22,1,3,2,1,0.667,3.3,1,0,0,0
162,Todd Bowles,6,2011,2022,67,26,41,0,0.388,-15,0,0,0,0,,3,1,0,0,0
163,Bruce Coslet,9,1990,2000,124,47,77,0,0.379,-30,1,1,0,1,0,3.9,2,0,0,0
164,June Jones,4,1994,1998,58,22,36,0,0.379,-14,1,1,0,1,0,3.5,2,0,0,0
165,Dom Capers,8,1995,2005,128,48,80,0,0.375,-32,1,2,1,1,0.5,3.3,1,0,0,0
166,Lindy Infante,6,1988,1997,96,36,60,0,0.375,-24,1,1,0,1,0,3.8,2,0,0,0
167,Jack Patera,7,1976,1982,94,35,59,0,0.372,-24,0,0,0,0,,4,3,0,0,0
168,Mike McCormack+,6,1973,1982,81,29,51,1,0.364,-22,0,0,0,0,,3.8,3,0,0,0
169,Jim Schwartz,5,2009,2013,80,29,51,0,0.363,-22,1,1,0,1,0,3.2,2,0,0,0
170,Ray Perkins,8,1979,1990,117,42,75,0,0.359,-33,1,2,1,1,0.5,3.8,2,0,0,0
171,Jim Dooley,4,1968,1971,56,20,36,0,0.357,-16,0,0,0,0,,3.3,2,0,0,0
172,Raheem Morris,4,2009,2020,59,21,38,0,0.356,-17,0,0,0,0,,3.8,3,0,0,0
173,Walt Kiesling+,9,1939,1956,90,30,55,5,0.353,-25,0,0,0,0,,4.1,2,0,0,0
174,Dan Henning,7,1983,1991,112,38,73,1,0.344,-35,0,0,0,0,,4.1,3,0,0,0
175,Romeo Crennel,7,2005,2020,95,32,63,0,0.337,-31,0,0,0,0,,3.6,2,0,0,0
176,John McKay,9,1976,1984,133,44,88,1,0.335,-44,3,4,1,3,0.25,3.6,1,0,0,0
177,Mike Nolan,4,2005,2008,55,18,37,0,0.327,-19,0,0,0,0,,3,2,,,
178,Bill Austin,4,1966,1970,56,17,36,3,0.321,-19,0,0,0,0,,4.5,4,0,0,0
179,Bill McPeak,5,1961,1965,70,21,46,3,0.313,-25,0,0,0,0,,4.8,3,0,0,0
180,Harland Svare,7,1962,1973,74,21,48,5,0.31,-27,0,0,0,0,,5.1,3,0,0,0
181,Darryl Rogers,4,1985,1988,58,18,40,0,0.31,-22,0,0,0,0,,4,3,0,0,0
